slot_id,section_id,start_datetime,end_datetime,duration_hours,traffic_density,is_night_window,max_tasks_possible,source,horizon
TT-SEC-01-20260916-0040,SEC-01,2026-09-16T00:40:00,2026-09-16T04:10:00,3.5,High,True,2,Timetable,monthly
GF-SEC-02-20260916-0110,SEC-02,2026-09-16T01:10:00,2026-09-16T09:10:00,8.0,High,True,4,MegaBlock,monthly
TT-SEC-02-20260916-0110,SEC-02,2026-09-16T01:10:00,2026-09-16T04:20:00,3.17,High,True,1,Timetable,monthly
TT-SEC-03-20260916-0130,SEC-03,2026-09-16T01:30:00,2026-09-16T04:30:00,3.0,Medium,True,1,Timetable,monthly
TT-SEC-04-20260916-0200,SEC-04,2026-09-16T02:00:00,2026-09-16T05:00:00,3.0,Medium,True,1,Timetable,monthly
GF-SEC-01-20260916-0410,SEC-01,2026-09-16T04:10:00,2026-09-16T05:40:00,1.5,Low,True,1,GoodsForecast,monthly
GF-SEC-04-20260916-0945,SEC-04,2026-09-16T09:45:00,2026-09-16T16:45:00,7.0,Medium,False,4,MegaBlock,monthly
GF-SEC-03-20260916-1030,SEC-03,2026-09-16T10:30:00,2026-09-16T17:30:00,7.0,Medium,False,4,MegaBlock,monthly
GF-SEC-02-20260918-0420,SEC-02,2026-09-18T04:20:00,2026-09-18T05:50:00,1.5,Low,True,1,GoodsForecast,monthly
GF-SEC-05-20260920-0020,SEC-05,2026-09-20T00:20:00,2026-09-20T07:20:00,7.0,High,True,4,MegaBlock,monthly
TT-SEC-05-20260920-0020,SEC-05,2026-09-20T00:20:00,2026-09-20T04:20:00,4.0,High,True,2,Timetable,monthly
GF-SEC-01-20260920-0040,SEC-01,2026-09-20T00:40:00,2026-09-20T06:40:00,6.0,High,True,3,MegaBlock,monthly
TT-SEC-01-20260920-0040,SEC-01,2026-09-20T00:40:00,2026-09-20T04:40:00,4.0,High,True,2,Timetable,monthly
GF-SEC-02-20260920-0110,SEC-02,2026-09-20T01:10:00,2026-09-20T09:10:00,8.0,High,True,4,MegaBlock,monthly
TT-SEC-02-20260920-0110,SEC-02,2026-09-20T01:10:00,2026-09-20T04:50:00,3.67,High,True,2,Timetable,monthly
TT-SEC-03-20260920-0130,SEC-03,2026-09-20T01:30:00,2026-09-20T04:30:00,3.0,Medium,True,1,Timetable,monthly
TT-SEC-04-20260920-0200,SEC-04,2026-09-20T02:00:00,2026-09-20T05:00:00,3.0,Medium,True,1,Timetable,monthly
GF-SEC-04-20260920-0945,SEC-04,2026-09-20T09:45:00,2026-09-20T16:45:00,7.0,Medium,False,4,MegaBlock,monthly
GF-SEC-03-20260920-1030,SEC-03,2026-09-20T10:30:00,2026-09-20T17:30:00,7.0,Medium,False,4,MegaBlock,monthly
TT-SEC-03-20260920-1030,SEC-03,2026-09-20T10:30:00,2026-09-20T13:00:00,2.5,Medium,False,1,Timetable,monthly
GF-SEC-05-20260921-0350,SEC-05,2026-09-21T03:50:00,2026-09-21T05:20:00,1.5,Low,True,1,GoodsForecast,monthly
GF-SEC-05-20260923-0020,SEC-05,2026-09-23T00:20:00,2026-09-23T07:20:00,7.0,High,True,4,MegaBlock,monthly
TT-SEC-05-20260923-0020,SEC-05,2026-09-23T00:20:00,2026-09-23T03:50:00,3.5,High,True,2,Timetable,monthly
GF-SEC-01-20260923-0040,SEC-01,2026-09-23T00:40:00,2026-09-23T06:40:00,6.0,High,True,3,MegaBlock,monthly
TT-SEC-01-20260923-0040,SEC-01,2026-09-23T00:40:00,2026-09-23T04:10:00,3.5,High,True,2,Timetable,monthly
GF-SEC-02-20260923-0110,SEC-02,2026-09-23T01:10:00,2026-09-23T09:10:00,8.0,High,True,4,MegaBlock,monthly
TT-SEC-02-20260923-0110,SEC-02,2026-09-23T01:10:00,2026-09-23T04:20:00,3.17,High,True,1,Timetable,monthly
TT-SEC-03-20260923-0130,SEC-03,2026-09-23T01:30:00,2026-09-23T04:30:00,3.0,Medium,True,1,Timetable,monthly
TT-SEC-04-20260923-0200,SEC-04,2026-09-23T02:00:00,2026-09-23T05:00:00,3.0,Medium,True,1,Timetable,monthly
GF-SEC-01-20260923-0410,SEC-01,2026-09-23T04:10:00,2026-09-23T05:40:00,1.5,Low,True,1,GoodsForecast,monthly
GF-SEC-04-20260923-0945,SEC-04,2026-09-23T09:45:00,2026-09-23T16:45:00,7.0,Medium,False,4,MegaBlock,monthly
GF-SEC-03-20260923-1030,SEC-03,2026-09-23T10:30:00,2026-09-23T17:30:00,7.0,Medium,False,4,MegaBlock,monthly
GF-SEC-05-20260927-0020,SEC-05,2026-09-27T00:20:00,2026-09-27T07:20:00,7.0,High,True,4,MegaBlock,monthly
TT-SEC-05-20260927-0020,SEC-05,2026-09-27T00:20:00,2026-09-27T04:20:00,4.0,High,True,2,Timetable,monthly
GF-SEC-01-20260927-0040,SEC-01,2026-09-27T00:40:00,2026-09-27T06:40:00,6.0,High,True,3,MegaBlock,monthly
TT-SEC-01-20260927-0040,SEC-01,2026-09-27T00:40:00,2026-09-27T04:40:00,4.0,High,True,2,Timetable,monthly
GF-SEC-02-20260927-0110,SEC-02,2026-09-27T01:10:00,2026-09-27T09:10:00,8.0,High,True,4,MegaBlock,monthly
TT-SEC-02-20260927-0110,SEC-02,2026-09-27T01:10:00,2026-09-27T04:50:00,3.67,High,True,2,Timetable,monthly
TT-SEC-03-20260927-0130,SEC-03,2026-09-27T01:30:00,2026-09-27T04:30:00,3.0,Medium,True,1,Timetable,monthly
TT-SEC-04-20260927-0200,SEC-04,2026-09-27T02:00:00,2026-09-27T05:00:00,3.0,Medium,True,1,Timetable,monthly
GF-SEC-04-20260927-0945,SEC-04,2026-09-27T09:45:00,2026-09-27T16:45:00,7.0,Medium,False,4,MegaBlock,monthly
GF-SEC-03-20260927-1030,SEC-03,2026-09-27T10:30:00,2026-09-27T17:30:00,7.0,Medium,False,4,MegaBlock,monthly
TT-SEC-03-20260927-1030,SEC-03,2026-09-27T10:30:00,2026-09-27T13:00:00,2.5,Medium,False,1,Timetable,monthly
GF-SEC-05-20260930-0020,SEC-05,2026-09-30T00:20:00,2026-09-30T07:20:00,7.0,High,True,4,MegaBlock,monthly
TT-SEC-05-20260930-0020,SEC-05,2026-09-30T00:20:00,2026-09-30T03:50:00,3.5,High,True,2,Timetable,monthly
GF-SEC-01-20260930-0040,SEC-01,2026-09-30T00:40:00,2026-09-30T06:40:00,6.0,High,True,3,MegaBlock,monthly
TT-SEC-01-20260930-0040,SEC-01,2026-09-30T00:40:00,2026-09-30T04:10:00,3.5,High,True,2,Timetable,monthly
GF-SEC-02-20260930-0110,SEC-02,2026-09-30T01:10:00,2026-09-30T09:10:00,8.0,High,True,4,MegaBlock,monthly
TT-SEC-02-20260930-0110,SEC-02,2026-09-30T01:10:00,2026-09-30T04:20:00,3.17,High,True,1,Timetable,monthly
TT-SEC-03-20260930-0130,SEC-03,2026-09-30T01:30:00,2026-09-30T04:30:00,3.0,Medium,True,1,Timetable,monthly
TT-SEC-04-20260930-0200,SEC-04,2026-09-30T02:00:00,2026-09-30T05:00:00,3.0,Medium,True,1,Timetable,monthly
GF-SEC-04-20260930-0945,SEC-04,2026-09-30T09:45:00,2026-09-30T16:45:00,7.0,Medium,False,4,MegaBlock,monthly
GF-SEC-03-20260930-1030,SEC-03,2026-09-30T10:30:00,2026-09-30T17:30:00,7.0,Medium,False,4,MegaBlock,monthly
