defect_id,department,location,section_id,section_name,defect_type,severity,overdue_days,estimated_duration_hours,criticality_score,asset_impact,description,criticality_component,severity_component,aging_component,asset_impact_component,density_component,duration_component,rule_priority_score,urgency_band,priority_rank,ml_priority_score,final_priority_score,final_rank,rule_rank,ml_rank,rank_delta,final_urgency_band
TMS-014,Engineering,SFG Yard (goods lead),SEC-05,Bharwari – Prayagraj Junction,Point and crossing wear,Medium,16,3.5,7,High,1:12 turnout on goods lead to Subedarganj yard; delays inward rakes if failed. Session 1 of 2 nights.,24.5,9.75,8.0,15.0,10.0,2.19,69.44,P2 - Urgent,19,69.59,69.51,19,19,19,0,P2 - Urgent
TMS-016,Engineering,SEC-02 / km 68.9,SEC-02,Bindki Road – Fatehpur,LWR destressing overdue,Medium,27,3.5,7,Medium,LWR panel overdue destressing before summer; needs 25 kV power block. Session 1 of 2 (stress-free length measurement night 1; destressing night 2). Coordinate with TRD.,24.5,9.75,13.5,9.75,10.0,2.19,69.69,P2 - Urgent,18,69.13,69.41,20,18,20,-2,P2 - Urgent
TDMS-008,TRD,KGA / mast 412/8,SEC-03,Fatehpur – Khaga,Mast foundation settlement,High,8,3.0,8,High,OHE mast tilt 1.8° after monsoon; guy and foundation repair. Session 1 of 2 (excavation + grouting night 1; guy tensioning + inspection night 2).,28.0,15.0,4.0,15.0,5.0,1.88,68.88,P2 - Urgent,21,68.78,68.83,21,21,21,0,P2 - Urgent
SMMS-010,S&T,BRE (points 11),SEC-04,Khaga – Bharwari,Point machine sluggish,High,6,3.0,8,High,Detection chatter; possible split if not attended before summer expansion. Single session.,28.0,15.0,3.0,15.0,5.0,1.88,67.88,P2 - Urgent,22,67.77,67.82,22,22,22,0,P2 - Urgent
TMS-009,Engineering,SEC-04 / km 128.0 (KGA–SRO),SEC-04,Khaga – Bharwari,Track geometry (twist),High,5,3.0,8,High,Twist 4.2 mm/3 m recorded on TRC; speed restriction 50 km/h pending packing. Single-session correction.,28.0,15.0,2.5,15.0,5.0,1.88,67.38,P2 - Urgent,23,67.41,67.4,23,23,23,0,P2 - Urgent
TDMS-006,TRD,SP Fatehpur,SEC-03,Fatehpur – Khaga,Transformer oil leak (AT),Medium,21,3.0,7,High,"Auxiliary transformer weeping at bushing; if failed, station lighting/signalling UPS stressed. Single session gasket replacement + oil top-up.",24.5,9.75,10.5,15.0,5.0,1.88,66.63,P2 - Urgent,24,66.69,66.66,24,24,24,0,P2 - Urgent
TDMS-013,TRD,SEC-05 / km 198.5,SEC-05,Bharwari – Prayagraj Junction,Auto tensioning device seized,Medium,9,3.0,7,High,ATD on PRYJ approach; summer expansion risk of pantograph hook-up. Single session.,24.5,9.75,4.5,15.0,10.0,1.88,65.63,P2 - Urgent,25,65.81,65.72,25,25,25,0,P2 - Urgent
TMS-004,Engineering,SEC-01 / km 28.6,SEC-01,Kanpur Central – Bindki Road,Gauge slack,Medium,18,3.0,7,Medium,Wide gauge 8 mm over 12 m chord on high-speed stretch; tamping + gauging needed.,24.5,9.75,9.0,9.75,10.0,1.88,64.88,P3 - Planned,26,64.79,64.84,26,26,26,0,P3 - Planned
TMS-005,Engineering,SEC-02 / km 58.1 (BKO–FTP),SEC-02,Bindki Road – Fatehpur,Ballast deficiency,Medium,24,3.0,6,Medium,"Cushion below 250 mm after monsoon; machine packing. Session 1 of 2 (3 h/night, 2 nights). Total 6 h spread over consecutive nights.",21.0,9.75,12.0,9.75,10.0,1.88,64.38,P3 - Planned,27,63.8,64.09,27,27,27,0,P3 - Planned
TDMS-003,TRD,PNKD ATD,SEC-01,Kanpur Central – Bindki Road,Auto tensioning device seized,Medium,14,3.0,7,Medium,"ATD pulley not paying out; sag variation with temperature, sparking reported. Single session.",24.5,9.75,7.0,9.75,10.0,1.88,62.88,P3 - Planned,28,62.64,62.76,28,28,28,0,P3 - Planned
SMMS-003,S&T,PNKD (points 21/22),SEC-01,Kanpur Central – Bindki Road,Point machine sluggish,Medium,13,3.0,7,Medium,IRS point machine throwing time > 4 s; needs overhauling under disconnection. Single session.,24.5,9.75,6.5,9.75,10.0,1.88,62.38,P3 - Planned,29,62.55,62.46,29,29,29,0,P3 - Planned
SMMS-015,S&T,FTP / LC-35,SEC-02,Bindki Road – Fatehpur,LC gate interlocking defect,Medium,12,3.0,7,Medium,Hooter and boom not in correspondence; joint S&T–Engineering window.,24.5,9.75,6.0,9.75,10.0,1.88,61.88,P3 - Planned,30,62.35,62.11,30,30,30,0,P3 - Planned
TDMS-005,TRD,SEC-02 / km 63.0,SEC-02,Bindki Road – Fatehpur,Insulator flashover,Medium,19,3.0,6,Medium,Stay tube insulator pollution flashover after fog; washing + replacement. Single session.,21.0,9.75,9.5,9.75,10.0,1.88,61.88,P3 - Planned,31,61.01,61.44,31,30,31,-1,P3 - Planned
TMS-020,Engineering,SEC-01 / km 39.2,SEC-01,Kanpur Central – Bindki Road,Rail wear (vertical),Medium,19,3.5,5,Medium,"Vertical wear 12 mm on 20-year-old 60 kg rail; planned insertion of 1.2 km panel. Session 1 of 2 nights (fishplating night 1, insertion night 2).",17.5,9.75,9.5,9.75,10.0,2.19,58.69,P3 - Planned,33,58.87,58.78,32,32,32,0,P3 - Planned
TMS-015,Engineering,PRYJ Yard (PF-6),SEC-05,Bharwari – Prayagraj Junction,Track geometry (unevenness),Medium,12,3.5,6,Medium,Coaching pit approach unevenness; affects rake placement at Prayagraj Junction. Single-session tamping.,21.0,9.75,6.0,9.75,10.0,2.19,58.69,P3 - Planned,32,58.49,58.59,33,32,33,-1,P3 - Planned
SMMS-007,S&T,KGA cabin,SEC-03,Fatehpur – Khaga,Cable insulation / megger fail,Medium,22,3.0,6,Medium,Main cable megger < 1 MΩ; replacement of 400 m quad under traffic block. Session 1 of 2 (pull-through night 1; termination + testing night 2).,21.0,9.75,11.0,9.75,5.0,1.88,58.38,P3 - Planned,35,58.48,58.43,34,34,34,0,P3 - Planned
SMMS-009,S&T,SEC-04 / IBS SRO–BRE,SEC-04,Khaga – Bharwari,Axle counter disturbance,Medium,15,3.0,7,Medium,Preparatory reset frequent in fog; medium density but crew complaints high. Single session.,24.5,9.75,7.5,9.75,5.0,1.88,58.38,P3 - Planned,34,58.33,58.36,35,34,35,-1,P3 - Planned
TMS-008,Engineering,KGA / km 113.5 Up,SEC-04,Khaga – Bharwari,Hanging sleeper,Medium,14,3.0,7,Medium,Voiding under 9 sleepers; risk of geometry burst at 110 km/h. Single-session tamping.,24.5,9.75,7.0,9.75,5.0,1.88,57.88,P3 - Planned,36,58.28,58.08,36,36,36,0,P3 - Planned
TMS-011,Engineering,SEC-04 / km 148.7,SEC-04,Khaga – Bharwari,Rail wear (lateral),Medium,21,3.0,6,Medium,"Curve 2.5° lateral wear approaching 50% head; planned rail renewal patch. Session 1 of 2 (rail closure + insertion, 3 h/night).",21.0,9.75,10.5,9.75,5.0,1.88,57.88,P3 - Planned,37,57.81,57.85,37,36,38,-2,P3 - Planned
TMS-006,Engineering,FTP Yard (loop 2),SEC-02,Bindki Road – Fatehpur,Sleeper damage (PSC),Medium,9,3.0,6,Medium,Cluster of cracked PSC sleepers at loop turnout; replacement before monsoon inspection. Single session.,21.0,9.75,4.5,9.75,10.0,1.88,56.88,P3 - Planned,38,57.95,57.42,38,38,37,1,P3 - Planned
SMMS-005,S&T,FTP (home signal Up),SEC-02,Bindki Road – Fatehpur,Signal lamp / LED module failure,Medium,8,2.0,6,Medium,Cold LED bank on Up home; redundant filament still OK but overdue replacement.,21.0,9.75,4.0,9.75,10.0,1.25,55.75,P3 - Planned,39,55.79,55.77,39,39,39,0,P3 - Planned
TDMS-010,TRD,SEC-04 / km 152.1,SEC-04,Khaga – Bharwari,Contact wire wear,Medium,16,3.0,6,Medium,Localized wear at overlap; medium density allows day shadow. Session 1 of 2 nights.,21.0,9.75,8.0,9.75,5.0,1.88,55.38,P3 - Planned,40,55.52,55.45,40,40,40,0,P3 - Planned
SMMS-013,S&T,SEC-05 auto signals A-14/A-16,SEC-05,Bharwari – Prayagraj Junction,Signal lamp / LED module failure,Medium,10,2.5,5,Medium,Two consecutive auto signals degraded; headway increase for MEMU into PRYJ.,17.5,9.75,5.0,9.75,10.0,1.56,53.56,P3 - Planned,41,53.53,53.54,41,41,41,0,P3 - Planned
TDMS-009,TRD,SSP Sirathu,SEC-04,Khaga – Bharwari,Jumper loose / hot spot,Medium,11,2.5,6,Medium,Thermovision 78 °C on feeder jumper; tighten under power block. Single session.,21.0,9.75,5.5,9.75,5.0,1.56,52.56,P3 - Planned,42,52.65,52.61,42,42,42,0,P3 - Planned
TMS-017,Engineering,CNBI / km 8.1,SEC-01,Kanpur Central – Bindki Road,Sleeper damage (PSC),Low,38,3.0,3,Low,Isolated cracked sleepers on slow line; can wait for machine block. Single session.,10.5,4.5,19.0,4.5,10.0,1.88,50.38,P3 - Planned,43,50.42,50.4,43,43,43,0,P3 - Planned
TMS-018,Engineering,SEC-03 / km 102.6,SEC-03,Fatehpur – Khaga,Ballast deficiency,Low,45,3.0,4,Low,Shoulder ballast flow after rains; sectional goods diverted via day shadow block. Session 1 of 2 nights.,14.0,4.5,20.0,4.5,5.0,1.88,49.88,P3 - Planned,44,49.87,49.87,44,44,44,0,P3 - Planned
TMS-007,Engineering,SEC-03 / km 91.4,SEC-03,Fatehpur – Khaga,Rail corrugation,Low,41,3.0,4,Low,"Short-pitch corrugation on Down line; grinding in day shadow block. Session 1 of 2 (3 h/day, 2 sessions).",14.0,4.5,20.0,4.5,5.0,1.88,49.88,P3 - Planned,45,49.87,49.87,45,44,44,0,P3 - Planned
SMMS-016,S&T,CNBI (slot circuit),SEC-01,Kanpur Central – Bindki Road,Track circuit failure,Low,36,2.5,3,Low,Slot circuit voltage drop; can be patched in night shadow without full corridor block.,10.5,4.5,18.0,4.5,10.0,1.56,49.06,P3 - Planned,47,49.02,49.04,46,46,46,0,P3 - Planned
TMS-022,Engineering,BKO Yard,SEC-01,Kanpur Central – Bindki Road,Hanging sleeper,Low,29,2.5,4,Low,Loop line voiding; no effect on main line if isolated.,14.0,4.5,14.5,4.5,10.0,1.56,49.06,P3 - Planned,46,48.84,48.95,47,46,47,-1,P3 - Planned
SMMS-014,S&T,BKO cabin,SEC-01,Kanpur Central – Bindki Road,Cable cut (suspected rodent),Low,27,3.0,4,Low,Spare quad damaged; main working pair healthy.,14.0,4.5,13.5,4.5,10.0,1.88,48.38,P3 - Planned,48,48.79,48.59,48,48,48,0,P3 - Planned
TDMS-007,TRD,SEC-03 / km 96.8,SEC-03,Fatehpur – Khaga,Catenary sag / stagger out,Low,34,3.0,4,Low,Stagger at cantilever 4 beyond 200 mm; plan with Engineering destressing. Single session.,14.0,4.5,17.0,4.5,5.0,1.88,46.88,P3 - Planned,49,47.24,47.06,49,49,49,0,P3 - Planned
TDMS-012,TRD,SFG Yard OHE,SEC-05,Bharwari – Prayagraj Junction,Insulator flashover,Low,28,2.5,3,Low,Yard line insulator; can be isolated without main line block.,10.5,4.5,14.0,4.5,10.0,1.56,45.06,P3 - Planned,50,45.25,45.16,50,50,50,0,P3 - Planned
TMS-010,Engineering,SRO Yard,SEC-04,Khaga – Bharwari,Level crossing road surface (engg.),Low,33,2.5,3,Low,LC-42A approaches potholed; engineering share of joint block with S&T.,10.5,4.5,16.5,4.5,5.0,1.56,42.56,P4 - Routine,51,42.79,42.68,51,51,51,0,P4 - Routine
SMMS-008,S&T,SRO (starter Down),SEC-04,Khaga – Bharwari,Signal lamp / LED module failure,Low,31,1.5,3,Low,Route indicator LED dim; not affecting main aspect.,10.5,4.5,15.5,4.5,5.0,0.94,40.94,P4 - Routine,52,41.73,41.33,52,52,52,0,P4 - Routine
