slot_id,section_id,start_datetime,end_datetime,duration_hours,traffic_density,is_night_window,max_tasks_possible,source
TT-SEC-05-20260909-0020,SEC-05,2026-09-09T00:20:00,2026-09-09T03:50:00,3.5,High,True,2,Timetable
TT-SEC-03-20260909-1030,SEC-03,2026-09-09T10:30:00,2026-09-09T13:00:00,2.5,Medium,False,1,Timetable
TT-SEC-01-20260910-0040,SEC-01,2026-09-10T00:40:00,2026-09-10T04:10:00,3.5,High,True,2,Timetable
TT-SEC-02-20260910-0110,SEC-02,2026-09-10T01:10:00,2026-09-10T04:20:00,3.17,High,True,1,Timetable
TT-SEC-03-20260910-0130,SEC-03,2026-09-10T01:30:00,2026-09-10T04:30:00,3.0,Medium,True,1,Timetable
TT-SEC-04-20260910-0200,SEC-04,2026-09-10T02:00:00,2026-09-10T05:00:00,3.0,Medium,True,1,Timetable
TT-SEC-05-20260910-0020,SEC-05,2026-09-10T00:20:00,2026-09-10T03:50:00,3.5,High,True,2,Timetable
TT-SEC-04-20260910-0945,SEC-04,2026-09-10T09:45:00,2026-09-10T12:45:00,3.0,Medium,False,1,Timetable
TT-SEC-01-20260911-0040,SEC-01,2026-09-11T00:40:00,2026-09-11T04:10:00,3.5,High,True,2,Timetable
TT-SEC-02-20260911-0110,SEC-02,2026-09-11T01:10:00,2026-09-11T04:20:00,3.17,High,True,1,Timetable
TT-SEC-03-20260911-0130,SEC-03,2026-09-11T01:30:00,2026-09-11T04:30:00,3.0,Medium,True,1,Timetable
TT-SEC-04-20260911-0200,SEC-04,2026-09-11T02:00:00,2026-09-11T05:00:00,3.0,Medium,True,1,Timetable
TT-SEC-05-20260911-0020,SEC-05,2026-09-11T00:20:00,2026-09-11T03:50:00,3.5,High,True,2,Timetable
TT-SEC-03-20260911-1030,SEC-03,2026-09-11T10:30:00,2026-09-11T13:00:00,2.5,Medium,False,1,Timetable
TT-SEC-01-20260912-0040,SEC-01,2026-09-12T00:40:00,2026-09-12T04:10:00,3.5,High,True,2,Timetable
TT-SEC-02-20260912-0110,SEC-02,2026-09-12T01:10:00,2026-09-12T04:20:00,3.17,High,True,1,Timetable
TT-SEC-03-20260912-0130,SEC-03,2026-09-12T01:30:00,2026-09-12T04:30:00,3.0,Medium,True,1,Timetable
TT-SEC-04-20260912-0200,SEC-04,2026-09-12T02:00:00,2026-09-12T05:00:00,3.0,Medium,True,1,Timetable
TT-SEC-05-20260912-0020,SEC-05,2026-09-12T00:20:00,2026-09-12T03:50:00,3.5,High,True,2,Timetable
TT-SEC-04-20260912-0945,SEC-04,2026-09-12T09:45:00,2026-09-12T12:45:00,3.0,Medium,False,1,Timetable
TT-SEC-01-20260913-0040,SEC-01,2026-09-13T00:40:00,2026-09-13T04:40:00,4.0,High,True,2,Timetable
TT-SEC-02-20260913-0110,SEC-02,2026-09-13T01:10:00,2026-09-13T04:50:00,3.67,High,True,2,Timetable
TT-SEC-03-20260913-0130,SEC-03,2026-09-13T01:30:00,2026-09-13T04:30:00,3.0,Medium,True,1,Timetable
TT-SEC-04-20260913-0200,SEC-04,2026-09-13T02:00:00,2026-09-13T05:00:00,3.0,Medium,True,1,Timetable
TT-SEC-05-20260913-0020,SEC-05,2026-09-13T00:20:00,2026-09-13T04:20:00,4.0,High,True,2,Timetable
TT-SEC-03-20260913-1030,SEC-03,2026-09-13T10:30:00,2026-09-13T13:00:00,2.5,Medium,False,1,Timetable
TT-SEC-01-20260916-0040,SEC-01,2026-09-16T00:40:00,2026-09-16T04:10:00,3.5,High,True,2,Timetable
TT-SEC-02-20260916-0110,SEC-02,2026-09-16T01:10:00,2026-09-16T04:20:00,3.17,High,True,1,Timetable
TT-SEC-03-20260916-0130,SEC-03,2026-09-16T01:30:00,2026-09-16T04:30:00,3.0,Medium,True,1,Timetable
TT-SEC-04-20260916-0200,SEC-04,2026-09-16T02:00:00,2026-09-16T05:00:00,3.0,Medium,True,1,Timetable
TT-SEC-05-20260916-0020,SEC-05,2026-09-16T00:20:00,2026-09-16T03:50:00,3.5,High,True,2,Timetable
TT-SEC-01-20260920-0040,SEC-01,2026-09-20T00:40:00,2026-09-20T04:40:00,4.0,High,True,2,Timetable
TT-SEC-02-20260920-0110,SEC-02,2026-09-20T01:10:00,2026-09-20T04:50:00,3.67,High,True,2,Timetable
TT-SEC-03-20260920-0130,SEC-03,2026-09-20T01:30:00,2026-09-20T04:30:00,3.0,Medium,True,1,Timetable
TT-SEC-04-20260920-0200,SEC-04,2026-09-20T02:00:00,2026-09-20T05:00:00,3.0,Medium,True,1,Timetable
TT-SEC-05-20260920-0020,SEC-05,2026-09-20T00:20:00,2026-09-20T04:20:00,4.0,High,True,2,Timetable
TT-SEC-03-20260920-1030,SEC-03,2026-09-20T10:30:00,2026-09-20T13:00:00,2.5,Medium,False,1,Timetable
TT-SEC-01-20260923-0040,SEC-01,2026-09-23T00:40:00,2026-09-23T04:10:00,3.5,High,True,2,Timetable
TT-SEC-02-20260923-0110,SEC-02,2026-09-23T01:10:00,2026-09-23T04:20:00,3.17,High,True,1,Timetable
TT-SEC-03-20260923-0130,SEC-03,2026-09-23T01:30:00,2026-09-23T04:30:00,3.0,Medium,True,1,Timetable
TT-SEC-04-20260923-0200,SEC-04,2026-09-23T02:00:00,2026-09-23T05:00:00,3.0,Medium,True,1,Timetable
TT-SEC-05-20260923-0020,SEC-05,2026-09-23T00:20:00,2026-09-23T03:50:00,3.5,High,True,2,Timetable
TT-SEC-01-20260927-0040,SEC-01,2026-09-27T00:40:00,2026-09-27T04:40:00,4.0,High,True,2,Timetable
TT-SEC-02-20260927-0110,SEC-02,2026-09-27T01:10:00,2026-09-27T04:50:00,3.67,High,True,2,Timetable
TT-SEC-03-20260927-0130,SEC-03,2026-09-27T01:30:00,2026-09-27T04:30:00,3.0,Medium,True,1,Timetable
TT-SEC-04-20260927-0200,SEC-04,2026-09-27T02:00:00,2026-09-27T05:00:00,3.0,Medium,True,1,Timetable
TT-SEC-05-20260927-0020,SEC-05,2026-09-27T00:20:00,2026-09-27T04:20:00,4.0,High,True,2,Timetable
TT-SEC-03-20260927-1030,SEC-03,2026-09-27T10:30:00,2026-09-27T13:00:00,2.5,Medium,False,1,Timetable
TT-SEC-01-20260930-0040,SEC-01,2026-09-30T00:40:00,2026-09-30T04:10:00,3.5,High,True,2,Timetable
TT-SEC-02-20260930-0110,SEC-02,2026-09-30T01:10:00,2026-09-30T04:20:00,3.17,High,True,1,Timetable
TT-SEC-03-20260930-0130,SEC-03,2026-09-30T01:30:00,2026-09-30T04:30:00,3.0,Medium,True,1,Timetable
TT-SEC-04-20260930-0200,SEC-04,2026-09-30T02:00:00,2026-09-30T05:00:00,3.0,Medium,True,1,Timetable
TT-SEC-05-20260930-0020,SEC-05,2026-09-30T00:20:00,2026-09-30T03:50:00,3.5,High,True,2,Timetable
