defect_id,department,location,section_id,section_name,defect_type,severity,overdue_days,estimated_duration_hours,criticality_score,asset_impact,description,criticality_component,severity_component,aging_component,asset_impact_component,density_component,duration_component,rule_priority_score,urgency_band,priority_rank,ml_priority_score,final_priority_score,final_rank,rule_rank,ml_rank,rank_delta,final_urgency_band
TDMS-011,TRD,SP Subedarganj,SEC-05,Bharwari – Prayagraj Junction,Section insulator defect,High,4,5.0,9,High,Neutral section rough ride reported by Rajdhani crew; PRYJ approach — high impact.,31.5,15.0,2.0,15.0,10.0,3.12,76.62,P2 - Urgent,11,77.14,76.88,11,11,11,0,P2 - Urgent
TMS-003,Engineering,PNKD / km 14.2 Down,SEC-01,Kanpur Central – Bindki Road,Weld failure (AT weld),High,3,5.0,9,High,Alumino-thermit weld dipped; requires destressing and re-weld under traffic block.,31.5,15.0,1.5,15.0,10.0,3.12,76.12,P2 - Urgent,12,77.1,76.61,12,12,12,0,P2 - Urgent
SMMS-004,S&T,SEC-02 / LC-28,SEC-02,Bindki Road – Fatehpur,LC gate interlocking defect,High,4,3.0,9,High,Boom locking circuit not proving; engineering + S&T joint block mandatory.,31.5,15.0,2.0,15.0,10.0,1.88,75.38,P2 - Urgent,13,75.21,75.29,13,13,13,0,P2 - Urgent
TMS-021,Engineering,SEC-05 / km 194.0 (SFG–PRYJ),SEC-05,Bharwari – Prayagraj Junction,Gauge slack,High,7,3.5,8,High,Slack gauge on automatic block approach; high coaching density into PRYJ.,28.0,15.0,3.5,15.0,10.0,2.19,73.69,P2 - Urgent,14,72.47,73.08,14,14,14,0,P2 - Urgent
TMS-016,Engineering,SEC-02 / km 68.9,SEC-02,Bindki Road – Fatehpur,LWR destressing overdue,Medium,27,8.0,7,Medium,LWR panel overdue destressing before summer; needs 25 kV power block coordination with TRD.,24.5,9.75,13.5,9.75,10.0,5.0,72.5,P2 - Urgent,15,71.8,72.15,15,15,16,-1,P2 - Urgent
TDMS-004,TRD,SSP Bindki Road,SEC-02,Bindki Road – Fatehpur,CB trip / protection mal-op,High,3,4.0,8,High,Feeder CB nuisance trip; OHE isolation of SEC-02 during peaks.,28.0,15.0,1.5,15.0,10.0,2.5,72.0,P2 - Urgent,16,71.86,71.93,16,16,15,1,P2 - Urgent
TMS-019,Engineering,FTP / km 77.8 Down,SEC-03,Fatehpur – Khaga,Weld failure (flash butt),High,4,5.5,9,High,Cupped FBW at station limit; TSR 20 km/h affecting Fatehpur stoppers.,31.5,15.0,2.0,15.0,5.0,3.44,71.94,P2 - Urgent,17,71.48,71.71,17,17,17,0,P2 - Urgent
TDMS-008,TRD,KGA / mast 412/8,SEC-03,Fatehpur – Khaga,Mast foundation settlement,High,8,7.0,8,High,OHE mast tilt 1.8° after monsoon; guy and foundation repair needs long block.,28.0,15.0,4.0,15.0,5.0,4.38,71.38,P2 - Urgent,18,71.4,71.39,18,18,18,0,P2 - Urgent
TMS-014,Engineering,SFG Yard (goods lead),SEC-05,Bharwari – Prayagraj Junction,Point and crossing wear,Medium,16,5.5,7,High,1:12 turnout on goods lead to Subedarganj yard; delays inward rakes if failed.,24.5,9.75,8.0,15.0,10.0,3.44,70.69,P2 - Urgent,19,70.5,70.6,19,19,20,-1,P2 - Urgent
SMMS-006,S&T,SEC-03 / km 88.0,SEC-03,Fatehpur – Khaga,Track circuit failure,High,2,4.5,9,High,"DC track circuit pumping in wet weather; false occupancy, capacity loss ~4 paths/hour.",31.5,15.0,1.0,15.0,5.0,2.81,70.31,P2 - Urgent,20,70.52,70.41,20,20,19,1,P2 - Urgent
SMMS-011,S&T,SFG Yard,SEC-05,Bharwari – Prayagraj Junction,Track circuit failure,Medium,17,4.0,7,High,"Yard berthing track shows occupied; inbound goods held at outer, asset idle.",24.5,9.75,8.5,15.0,10.0,2.5,70.25,P2 - Urgent,21,70.15,70.2,21,21,21,0,P2 - Urgent
TMS-009,Engineering,SEC-04 / km 128.0 (KGA–SRO),SEC-04,Khaga – Bharwari,Track geometry (twist),High,5,5.0,8,High,Twist 4.2 mm/3 m recorded on TRC; speed restriction 50 km/h pending packing.,28.0,15.0,2.5,15.0,5.0,3.12,68.62,P2 - Urgent,22,68.77,68.69,22,22,22,0,P2 - Urgent
TDMS-006,TRD,SP Fatehpur,SEC-03,Fatehpur – Khaga,Transformer oil leak (AT),Medium,21,5.5,7,High,"Auxiliary transformer weeping at bushing; if failed, station lighting/signalling UPS stressed.",24.5,9.75,10.5,15.0,5.0,3.44,68.19,P2 - Urgent,23,68.46,68.32,23,23,23,0,P2 - Urgent
SMMS-010,S&T,BRE (points 11),SEC-04,Khaga – Bharwari,Point machine sluggish,High,6,3.0,8,High,Detection chatter; possible split if not attended before summer expansion.,28.0,15.0,3.0,15.0,5.0,1.88,67.88,P2 - Urgent,24,67.73,67.81,24,24,25,-1,P2 - Urgent
TMS-005,Engineering,SEC-02 / km 58.1 (BKO–FTP),SEC-02,Bindki Road – Fatehpur,Ballast deficiency,Medium,24,8.0,6,Medium,Cushion below 250 mm after monsoon; machine packing preferred with 6–8 hour corridor block.,21.0,9.75,12.0,9.75,10.0,5.0,67.5,P2 - Urgent,25,67.77,67.63,25,25,24,1,P2 - Urgent
TDMS-013,TRD,SEC-05 / km 198.5,SEC-05,Bharwari – Prayagraj Junction,Auto tensioning device seized,Medium,9,3.5,7,High,ATD on PRYJ approach; summer expansion risk of pantograph hook-up.,24.5,9.75,4.5,15.0,10.0,2.19,65.94,P2 - Urgent,26,66.79,66.37,26,26,26,0,P2 - Urgent
TMS-004,Engineering,SEC-01 / km 28.6,SEC-01,Kanpur Central – Bindki Road,Gauge slack,Medium,18,3.0,7,Medium,Wide gauge 8 mm over 12 m chord on high-speed stretch; tamping + gauging needed.,24.5,9.75,9.0,9.75,10.0,1.88,64.88,P3 - Planned,27,64.67,64.77,27,27,27,0,P3 - Planned
TDMS-003,TRD,PNKD ATD,SEC-01,Kanpur Central – Bindki Road,Auto tensioning device seized,Medium,14,3.5,7,Medium,"ATD pulley not paying out; sag variation with temperature, sparking reported.",24.5,9.75,7.0,9.75,10.0,2.19,63.19,P3 - Planned,28,62.84,63.02,28,28,28,0,P3 - Planned
SMMS-003,S&T,PNKD (points 21/22),SEC-01,Kanpur Central – Bindki Road,Point machine sluggish,Medium,13,3.5,7,Medium,IRS point machine throwing time > 4 s; needs overhauling under disconnection.,24.5,9.75,6.5,9.75,10.0,2.19,62.69,P3 - Planned,29,62.65,62.67,29,29,29,0,P3 - Planned
SMMS-015,S&T,FTP / LC-35,SEC-02,Bindki Road – Fatehpur,LC gate interlocking defect,Medium,12,3.0,7,Medium,Hooter and boom not in correspondence; joint S&T–Engineering window.,24.5,9.75,6.0,9.75,10.0,1.88,61.88,P3 - Planned,30,62.35,62.11,30,30,30,0,P3 - Planned
TDMS-005,TRD,SEC-02 / km 63.0,SEC-02,Bindki Road – Fatehpur,Insulator flashover,Medium,19,3.0,6,Medium,Stay tube insulator pollution flashover after fog; washing + replacement.,21.0,9.75,9.5,9.75,10.0,1.88,61.88,P3 - Planned,31,60.79,61.34,31,30,31,-1,P3 - Planned
TMS-020,Engineering,SEC-01 / km 39.2,SEC-01,Kanpur Central – Bindki Road,Rail wear (vertical),Medium,19,6.0,5,Medium,Vertical wear 12 mm on 20-year-old 60 kg rail; planned insertion of 1.2 km panel.,17.5,9.75,9.5,9.75,10.0,3.75,60.25,P3 - Planned,33,60.3,60.27,32,33,32,1,P3 - Planned
TMS-011,Engineering,SEC-04 / km 148.7,SEC-04,Khaga – Bharwari,Rail wear (lateral),Medium,21,7.0,6,Medium,Curve 2.5° lateral wear approaching 50% head; planned rail renewal patch.,21.0,9.75,10.5,9.75,5.0,4.38,60.38,P3 - Planned,32,60.14,60.26,33,32,33,-1,P3 - Planned
SMMS-007,S&T,KGA cabin,SEC-03,Fatehpur – Khaga,Cable insulation / megger fail,Medium,22,5.0,6,Medium,Main cable megger < 1 MΩ; replacement of 400 m quad under traffic block.,21.0,9.75,11.0,9.75,5.0,3.12,59.62,P3 - Planned,34,59.71,59.66,34,34,34,0,P3 - Planned
TMS-015,Engineering,PRYJ Yard (PF-6),SEC-05,Bharwari – Prayagraj Junction,Track geometry (unevenness),Medium,12,4.0,6,Medium,Coaching pit approach unevenness; affects rake placement at Prayagraj Junction.,21.0,9.75,6.0,9.75,10.0,2.5,59.0,P3 - Planned,35,59.04,59.02,35,35,35,0,P3 - Planned
SMMS-009,S&T,SEC-04 / IBS SRO–BRE,SEC-04,Khaga – Bharwari,Axle counter disturbance,Medium,15,3.5,7,Medium,Preparatory reset frequent in fog; medium density but crew complaints high.,24.5,9.75,7.5,9.75,5.0,2.19,58.69,P3 - Planned,36,58.58,58.64,36,36,36,0,P3 - Planned
TMS-008,Engineering,KGA / km 113.5 Up,SEC-04,Khaga – Bharwari,Hanging sleeper,Medium,14,3.5,7,Medium,Voiding under 9 sleepers; risk of geometry burst at 110 km/h.,24.5,9.75,7.0,9.75,5.0,2.19,58.19,P3 - Planned,37,58.58,58.39,37,37,36,1,P3 - Planned
TMS-006,Engineering,FTP Yard (loop 2),SEC-02,Bindki Road – Fatehpur,Sleeper damage (PSC),Medium,9,4.5,6,Medium,Cluster of cracked PSC sleepers at loop turnout; replacement before monsoon inspection.,21.0,9.75,4.5,9.75,10.0,2.81,57.81,P3 - Planned,38,58.29,58.05,38,38,38,0,P3 - Planned
TDMS-010,TRD,SEC-04 / km 152.1,SEC-04,Khaga – Bharwari,Contact wire wear,Medium,16,6.0,6,Medium,Localized wear at overlap; medium density allows day shadow if goods forecast permits.,21.0,9.75,8.0,9.75,5.0,3.75,57.25,P3 - Planned,39,57.45,57.35,39,39,39,0,P3 - Planned
SMMS-005,S&T,FTP (home signal Up),SEC-02,Bindki Road – Fatehpur,Signal lamp / LED module failure,Medium,8,2.0,6,Medium,Cold LED bank on Up home; redundant filament still OK but overdue replacement.,21.0,9.75,4.0,9.75,10.0,1.25,55.75,P3 - Planned,40,55.68,55.72,40,40,40,0,P3 - Planned
SMMS-013,S&T,SEC-05 auto signals A-14/A-16,SEC-05,Bharwari – Prayagraj Junction,Signal lamp / LED module failure,Medium,10,2.5,5,Medium,Two consecutive auto signals degraded; headway increase for MEMU into PRYJ.,17.5,9.75,5.0,9.75,10.0,1.56,53.56,P3 - Planned,41,53.76,53.66,41,41,41,0,P3 - Planned
TDMS-009,TRD,SSP Sirathu,SEC-04,Khaga – Bharwari,Jumper loose / hot spot,Medium,11,2.5,6,Medium,Thermovision 78 °C on feeder jumper; tighten under power block.,21.0,9.75,5.5,9.75,5.0,1.56,52.56,P3 - Planned,42,52.71,52.63,42,42,42,0,P3 - Planned
TMS-018,Engineering,SEC-03 / km 102.6,SEC-03,Fatehpur – Khaga,Ballast deficiency,Low,45,7.0,4,Low,Shoulder ballast flow after rains; sectional goods can be diverted via day shadow block.,14.0,4.5,20.0,4.5,5.0,4.38,52.38,P3 - Planned,43,52.29,52.34,43,43,43,0,P3 - Planned
TMS-007,Engineering,SEC-03 / km 91.4,SEC-03,Fatehpur – Khaga,Rail corrugation,Low,41,6.0,4,Low,"Short-pitch corrugation on Down line; grinding requested, not safety-critical yet.",14.0,4.5,20.0,4.5,5.0,3.75,51.75,P3 - Planned,44,51.85,51.8,44,44,44,0,P3 - Planned
TMS-017,Engineering,CNBI / km 8.1,SEC-01,Kanpur Central – Bindki Road,Sleeper damage (PSC),Low,38,3.0,3,Low,Isolated cracked sleepers on slow line; can wait for machine block.,10.5,4.5,19.0,4.5,10.0,1.88,50.38,P3 - Planned,45,50.58,50.48,45,45,45,0,P3 - Planned
SMMS-016,S&T,CNBI (slot circuit),SEC-01,Kanpur Central – Bindki Road,Track circuit failure,Low,36,2.5,3,Low,Slot circuit voltage drop; can be patched in night shadow without full corridor block.,10.5,4.5,18.0,4.5,10.0,1.56,49.06,P3 - Planned,47,48.95,49.01,46,46,46,0,P3 - Planned
TMS-022,Engineering,BKO Yard,SEC-01,Kanpur Central – Bindki Road,Hanging sleeper,Low,29,2.5,4,Low,Loop line voiding; no effect on main line if isolated.,14.0,4.5,14.5,4.5,10.0,1.56,49.06,P3 - Planned,46,48.88,48.97,47,46,47,-1,P3 - Planned
SMMS-014,S&T,BKO cabin,SEC-01,Kanpur Central – Bindki Road,Cable cut (suspected rodent),Low,27,3.0,4,Low,Spare quad damaged; main working pair healthy.,14.0,4.5,13.5,4.5,10.0,1.88,48.38,P3 - Planned,48,48.78,48.58,48,48,48,0,P3 - Planned
TDMS-007,TRD,SEC-03 / km 96.8,SEC-03,Fatehpur – Khaga,Catenary sag / stagger out,Low,34,4.0,4,Low,Stagger at cantilever 4 beyond 200 mm; plan with Engineering destressing.,14.0,4.5,17.0,4.5,5.0,2.5,47.5,P3 - Planned,49,47.74,47.62,49,49,49,0,P3 - Planned
TDMS-012,TRD,SFG Yard OHE,SEC-05,Bharwari – Prayagraj Junction,Insulator flashover,Low,28,2.5,3,Low,Yard line insulator; can be isolated without main line block.,10.5,4.5,14.0,4.5,10.0,1.56,45.06,P3 - Planned,50,45.28,45.17,50,50,50,0,P3 - Planned
TMS-010,Engineering,SRO Yard,SEC-04,Khaga – Bharwari,Level crossing road surface (engg.),Low,33,2.5,3,Low,LC-42A approaches potholed; engineering share of joint block with S&T.,10.5,4.5,16.5,4.5,5.0,1.56,42.56,P4 - Routine,51,42.77,42.67,51,51,51,0,P4 - Routine
SMMS-008,S&T,SRO (starter Down),SEC-04,Khaga – Bharwari,Signal lamp / LED module failure,Low,31,1.5,3,Low,Route indicator LED dim; not affecting main aspect.,10.5,4.5,15.5,4.5,5.0,0.94,40.94,P4 - Routine,52,41.76,41.35,52,52,52,0,P4 - Routine
