defect_id,department,location,section_id,section_name,defect_type,severity,overdue_days,estimated_duration_hours,criticality_score,asset_impact,description,criticality_component,severity_component,aging_component,asset_impact_component,density_component,duration_component,rule_priority_score,urgency_band,priority_rank,ml_priority_score,final_priority_score,final_rank,rule_rank,ml_rank,rank_delta,final_urgency_band,requires_extended_block,unscheduled_reason
TDMS-004,TRD,SSP Bindki Road,SEC-02,Bindki Road – Fatehpur,CB trip / protection mal-op,High,3,4.0,8,High,Feeder CB nuisance trip; OHE isolation of SEC-02 during peaks.,28.0,15.0,1.5,15.0,10.0,2.5,72.0,P2 - Urgent,16,71.86,71.93,16,16,15,1,P2 - Urgent,True,requires_extended_block: actual duration exceeds all available slot windows on this section
TMS-019,Engineering,FTP / km 77.8 Down,SEC-03,Fatehpur – Khaga,Weld failure (flash butt),High,4,5.5,9,High,Cupped FBW at station limit; TSR 20 km/h affecting Fatehpur stoppers.,31.5,15.0,2.0,15.0,5.0,3.44,71.94,P2 - Urgent,17,71.48,71.71,17,17,17,0,P2 - Urgent,True,requires_extended_block: actual duration exceeds all available slot windows on this section
TDMS-008,TRD,KGA / mast 412/8,SEC-03,Fatehpur – Khaga,Mast foundation settlement,High,8,7.0,8,High,OHE mast tilt 1.8° after monsoon; guy and foundation repair needs long block.,28.0,15.0,4.0,15.0,5.0,4.38,71.38,P2 - Urgent,18,71.4,71.39,18,18,18,0,P2 - Urgent,True,requires_extended_block: actual duration exceeds all available slot windows on this section
TMS-014,Engineering,SFG Yard (goods lead),SEC-05,Bharwari – Prayagraj Junction,Point and crossing wear,Medium,16,5.5,7,High,1:12 turnout on goods lead to Subedarganj yard; delays inward rakes if failed.,24.5,9.75,8.0,15.0,10.0,3.44,70.69,P2 - Urgent,19,70.5,70.6,19,19,20,-1,P2 - Urgent,True,requires_extended_block: actual duration exceeds all available slot windows on this section
SMMS-006,S&T,SEC-03 / km 88.0,SEC-03,Fatehpur – Khaga,Track circuit failure,High,2,4.5,9,High,"DC track circuit pumping in wet weather; false occupancy, capacity loss ~4 paths/hour.",31.5,15.0,1.0,15.0,5.0,2.81,70.31,P2 - Urgent,20,70.52,70.41,20,20,19,1,P2 - Urgent,True,requires_extended_block: actual duration exceeds all available slot windows on this section
TMS-009,Engineering,SEC-04 / km 128.0 (KGA–SRO),SEC-04,Khaga – Bharwari,Track geometry (twist),High,5,5.0,8,High,Twist 4.2 mm/3 m recorded on TRC; speed restriction 50 km/h pending packing.,28.0,15.0,2.5,15.0,5.0,3.12,68.62,P2 - Urgent,22,68.77,68.69,22,22,22,0,P2 - Urgent,True,requires_extended_block: actual duration exceeds all available slot windows on this section
TDMS-006,TRD,SP Fatehpur,SEC-03,Fatehpur – Khaga,Transformer oil leak (AT),Medium,21,5.5,7,High,"Auxiliary transformer weeping at bushing; if failed, station lighting/signalling UPS stressed.",24.5,9.75,10.5,15.0,5.0,3.44,68.19,P2 - Urgent,23,68.46,68.32,23,23,23,0,P2 - Urgent,True,requires_extended_block: actual duration exceeds all available slot windows on this section
TMS-005,Engineering,SEC-02 / km 58.1 (BKO–FTP),SEC-02,Bindki Road – Fatehpur,Ballast deficiency,Medium,24,8.0,6,Medium,Cushion below 250 mm after monsoon; machine packing preferred with 6–8 hour corridor block.,21.0,9.75,12.0,9.75,10.0,5.0,67.5,P2 - Urgent,25,67.77,67.63,25,25,24,1,P2 - Urgent,True,requires_extended_block: actual duration exceeds all available slot windows on this section
TMS-020,Engineering,SEC-01 / km 39.2,SEC-01,Kanpur Central – Bindki Road,Rail wear (vertical),Medium,19,6.0,5,Medium,Vertical wear 12 mm on 20-year-old 60 kg rail; planned insertion of 1.2 km panel.,17.5,9.75,9.5,9.75,10.0,3.75,60.25,P3 - Planned,33,60.3,60.27,32,33,32,1,P3 - Planned,True,requires_extended_block: actual duration exceeds all available slot windows on this section
TMS-011,Engineering,SEC-04 / km 148.7,SEC-04,Khaga – Bharwari,Rail wear (lateral),Medium,21,7.0,6,Medium,Curve 2.5° lateral wear approaching 50% head; planned rail renewal patch.,21.0,9.75,10.5,9.75,5.0,4.38,60.38,P3 - Planned,32,60.14,60.26,33,32,33,-1,P3 - Planned,True,requires_extended_block: actual duration exceeds all available slot windows on this section
SMMS-007,S&T,KGA cabin,SEC-03,Fatehpur – Khaga,Cable insulation / megger fail,Medium,22,5.0,6,Medium,Main cable megger < 1 MΩ; replacement of 400 m quad under traffic block.,21.0,9.75,11.0,9.75,5.0,3.12,59.62,P3 - Planned,34,59.71,59.66,34,34,34,0,P3 - Planned,True,requires_extended_block: actual duration exceeds all available slot windows on this section
SMMS-009,S&T,SEC-04 / IBS SRO–BRE,SEC-04,Khaga – Bharwari,Axle counter disturbance,Medium,15,3.5,7,Medium,Preparatory reset frequent in fog; medium density but crew complaints high.,24.5,9.75,7.5,9.75,5.0,2.19,58.69,P3 - Planned,36,58.58,58.64,36,36,36,0,P3 - Planned,True,requires_extended_block: actual duration exceeds all available slot windows on this section
TMS-008,Engineering,KGA / km 113.5 Up,SEC-04,Khaga – Bharwari,Hanging sleeper,Medium,14,3.5,7,Medium,Voiding under 9 sleepers; risk of geometry burst at 110 km/h.,24.5,9.75,7.0,9.75,5.0,2.19,58.19,P3 - Planned,37,58.58,58.39,37,37,36,1,P3 - Planned,True,requires_extended_block: actual duration exceeds all available slot windows on this section
TMS-006,Engineering,FTP Yard (loop 2),SEC-02,Bindki Road – Fatehpur,Sleeper damage (PSC),Medium,9,4.5,6,Medium,Cluster of cracked PSC sleepers at loop turnout; replacement before monsoon inspection.,21.0,9.75,4.5,9.75,10.0,2.81,57.81,P3 - Planned,38,58.29,58.05,38,38,38,0,P3 - Planned,True,requires_extended_block: actual duration exceeds all available slot windows on this section
TDMS-010,TRD,SEC-04 / km 152.1,SEC-04,Khaga – Bharwari,Contact wire wear,Medium,16,6.0,6,Medium,Localized wear at overlap; medium density allows day shadow if goods forecast permits.,21.0,9.75,8.0,9.75,5.0,3.75,57.25,P3 - Planned,39,57.45,57.35,39,39,39,0,P3 - Planned,True,requires_extended_block: actual duration exceeds all available slot windows on this section
TMS-018,Engineering,SEC-03 / km 102.6,SEC-03,Fatehpur – Khaga,Ballast deficiency,Low,45,7.0,4,Low,Shoulder ballast flow after rains; sectional goods can be diverted via day shadow block.,14.0,4.5,20.0,4.5,5.0,4.38,52.38,P3 - Planned,43,52.29,52.34,43,43,43,0,P3 - Planned,True,requires_extended_block: actual duration exceeds all available slot windows on this section
TMS-007,Engineering,SEC-03 / km 91.4,SEC-03,Fatehpur – Khaga,Rail corrugation,Low,41,6.0,4,Low,"Short-pitch corrugation on Down line; grinding requested, not safety-critical yet.",14.0,4.5,20.0,4.5,5.0,3.75,51.75,P3 - Planned,44,51.85,51.8,44,44,44,0,P3 - Planned,True,requires_extended_block: actual duration exceeds all available slot windows on this section
TDMS-007,TRD,SEC-03 / km 96.8,SEC-03,Fatehpur – Khaga,Catenary sag / stagger out,Low,34,4.0,4,Low,Stagger at cantilever 4 beyond 200 mm; plan with Engineering destressing.,14.0,4.5,17.0,4.5,5.0,2.5,47.5,P3 - Planned,49,47.74,47.62,49,49,49,0,P3 - Planned,True,requires_extended_block: actual duration exceeds all available slot windows on this section
